id,packaging_template/height,packaging_template/width,packaging_template/length
product.template_255001,45,31,21
product.template_255999,30,38,20
product.template_259090,37,30,6
product.template_259101,41,30,17
product.template_259102,43,32,18.5
product.template_259305,45,39,26
product.template_259344,40,12.5,30
product.template_259430,15,11.5,3.7
product.template_259446,42,36,24.5
product.template_259910,43.5,21.5,31
product.template_260220,11.7,9.25,3.25
product.template_260230,13.375,12,3.37
product.template_260250,16.875,13.375,
product.template_260270,16.1,12,5
product.template_261008,43,18,33
product.template_261032,42,34,13
product.template_261033,45,34,16
product.template_261060,37,47,27
product.template_261113,45,39,26
product.template_261114,45,39,26
product.template_261118,41,31,13
product.template_261154,45,38,20
product.template_261295,38,43,16
product.template_261336,29.3,43.7,3.8
product.template_261342,40,50,13
product.template_261343,42.5,31,12
product.template_261344,43,33,19
product.template_261347,36,53,18
product.template_261700,47,31,22
product.template_261853,53,35,24
product.template_267101,38,22,52
product.template_267102,46,26,60.5
product.template_267103,54,30.5,73
product.template_267104,64,34,84
product.template_267121,51.5,36,21
product.template_267122,60.8,43,25.5
product.template_267123,59,49,29
product.template_267131,51.5,36,21
product.template_267132,60.8,43,25.5
product.template_267133,59,49,29
product.template_267141,51.5,36,21
product.template_267142,60.8,43,25.5
product.template_267143,59,49,29
product.template_267149,37,20,29
product.template_268451,47,35,13
product.template_269131,37,20,29
product.template_269142,90,31,32
product.template_269199,55,50,23
product.template_269200,28,18,11
product.template_269201,75,35,33
product.template_269203,31,23.5,13.5
product.template_269204,37,30.5,14
product.template_269205,40,28,17
product.template_269206,65,30,35
product.template_269207,60,29,31
product.template_269208,45,24,26
product.template_269209,36,27,17
product.template_269254,29,19,32
product.template_269501,52,30,29.5
product.template_269532,44,35,18
product.template_269533,45,36,24.5
product.template_272001,41,30,12
product.template_272201,75,35,33
product.template_272206,75,35,33
product.template_272207,57,31,29
product.template_272208,42,25,23
product.template_272230,40,29,10
product.template_272235,43,30,20
product.template_272240,44,30,28
product.template_272245,47,33,21
product.template_272355,75,35,33
product.template_273001,40,30,15
product.template_273500,52,30,29.5
product.template_280240,40,30,10
product.template_280250,43,34,11
product.template_282020,48,24,35
product.template_282024,45,31,10
product.template_282027,41.5,34,15
product.template_282028,42.5,33,19
product.template_282043,44,32.5,10
product.template_282119,41,31,13
product.template_282182,41.5,30,9
product.template_282183,41.5,30.5,16
product.template_282243,46,34,12.5
product.template_282264,46,34,12
product.template_282442,42.5,33,17
product.template_282541,45.5,32.5,19.5
product.template_282600,37,28,8
product.template_282601,37,28,6
product.template_282650,35.5,25.5,2.5
product.template_282660,26,32,2
product.template_282730,37,30,6
product.template_282802,49,32,20
product.template_282808,49,32,19.5
product.template_283008,27.7,20,1.5
product.template_283013,32,23,2.5
product.template_283015,39,27,2.8
product.template_283017,41.7,32.2,6
product.template_343173,15,15,8
product.template_343589,11,8,7
product.template_344200,22,16,16
product.template_344959,16,13,11.5
product.template_344965,22,15.5,12.5
product.template_344987,27,16.5,15
product.template_345200,22,16,16
product.template_345959,16,13,11.5
product.template_345965,22,15.5,12.5
product.template_345987,27,16.5,15
product.template_346200,22,16,16
product.template_346959,16,13,11.5
product.template_346965,22,15.5,12.5
product.template_346987,27,16.5,15
product.template_347200,22,16,16
product.template_347959,16,13,11.5
product.template_347965,22,15.5,12.5
product.template_347987,27,16.5,15
product.template_348100,21.5,7,1
product.template_348101,21,11,15
product.template_348103,20,17,15.5
product.template_348751,11,7,11
product.template_349200,7,23,17.7
product.template_349205,6,25,20
product.template_349215,6,25,20
product.template_349220,6,25,20
product.template_349400,9,25,37
product.template_349410,8,25,37
product.template_349420,8,25,37
product.template_349430,8,25,37
product.template_351159,15,7.5,10
product.template_354233,15,5,15
product.template_354244,20,10,14
product.template_354255,24,12.5,16.5
product.template_354266,26,13.5,19
product.template_354277,30,18,21
product.template_355110,20,10,14
product.template_355120,23,15,15
product.template_355130,29,19,17.5
product.template_355210,16.5,12.5,13.5
product.template_355220,22,15.5,16
product.template_355230,29.5,16,18.5
product.template_356641,21,7,1
product.template_356697,24,13,15
product.template_356699,31.5,18,17.5
product.template_356751,11,7,11
product.template_357142,30,15.5,18.5
product.template_357143,32,22,21
product.template_357200,22,15.5,16
product.template_357218,28,14,17
product.template_357343,29.5,17,21
product.template_357399,44,29,29
product.template_357613,23,13,12.5
product.template_357699,32.5,17.5,17.5
product.template_357801,41,24,26
product.template_357805,31,8,10.5
product.template_357810,31,8,20
product.template_360332,28,16,17
product.template_360755,17,15,13.5
product.template_360757,23,14,18
product.template_364519,24.5,15.5,21.5
product.template_364734,31.5,6.5,14.5
product.template_367133,13,15,13
product.template_367200,22,16,16
product.template_367201,24,7.5,15.5
product.template_367227,17,15,13.5
product.template_367228,26,18.5,18
product.template_367288,26,18.5,18
product.template_367289,31,21,18
product.template_367301,20,20,12
product.template_367458,28,17.5,19.5
product.template_367504,23.5,15,15.5
product.template_367511,29,11,8.5
product.template_367533,36,11,12
product.template_367692,31,23,22
product.template_367730,11,8,5.5
product.template_367731,23,13,7
product.template_367732,11,8,4
product.template_367733,30,6.5,10.5
product.template_367734,31.5,6.5,14.5
product.template_367753,20,5,19
product.template_367754,25,8,25
product.template_367811,22,20.6,7.3
product.template_367822,31,21,20
product.template_367828,29.5,17,19
product.template_367833,33,11.5,7.5
product.template_367844,33,11.5,7.2
product.template_367933,33,11.5,7.2
product.template_367944,33,21.5,8.8
product.template_367959,16,13,11.5
product.template_367965,22,15.5,12.5
product.template_367987,27,16.5,15
product.template_367990,22,17,17
product.template_369173,15,15,8
product.template_369174,19,6,10
product.template_369178,15,5,1
product.template_378083,37.5,25,23
product.template_378084,36,30,25
product.template_378127,28,19.5,7
product.template_378274,24,16,16
product.template_378285,4,15,12
product.template_378579,30,14.5,19
product.template_378614,18,13,13
product.template_378693,30,19,21
product.template_378733,30,11,6.5
product.template_378766,15,9,15
product.template_378804,21.5,8,11
product.template_378806,31.5,11.5,8.8
product.template_378812,31.5,21,8.8
product.template_378818,8.5,32,32
product.template_378824,25,18,18
product.template_378906,33,11.5,8.8
product.template_378912,33,21.5,8.8
product.template_390227,32,22,9.05
product.template_390228,24,16,11.5
product.template_390309,22.7,14.5,10.5
product.template_390320,26,20.6,8
product.template_390483,16,16.5,16
product.template_390484,16.5,16.5,30.5
product.template_390485,26,14,29.5
product.template_390874,18,17,22
product.template_425154,22,12,2
product.template_425155,16,11,3
product.template_425278,17.5,6.5,6.5
product.template_431729,27,17,12
product.template_431730,27,18,13
product.template_460239,39,30,11.5
product.template_460241,41,32,14
product.template_460243,43,31,10
product.template_460341,41,32,14
product.template_460344,43.5,32,14
product.template_460633,28,37.5,5
product.template_460637,25,33,2.5
product.template_460846,46,34,10.5
product.template_461239,41,32,14
product.template_461241,27,41,13.5
product.template_461341,27,41,14.5
product.template_461405,19,6.5,15
product.template_461409,22,6,18
product.template_461430,38,9,30
product.template_461431,38,9,30
product.template_461432,32,10,29.5
product.template_462053,46,36.5,23
product.template_462101,40,31,17
product.template_462102,44,32,18.5
product.template_462165,46,33,10.5
product.template_463340,30.5,40,15
product.template_463633,33,24.5,3
product.template_464341,32,41,15.5
product.template_464700,47,31,22
product.template_465372,18,13,4.75
product.template_465515,46,34,12
product.template_474028,11,3,5.5
product.template_474029,12,3,6.5
product.template_474030,12,2.5,6.5
product.template_474031,12,2.5,8
product.template_474033,12.5,2,7.5
product.template_474034,12,2,9
product.template_474035,15.5,2,8
product.template_476038,11.5,6,3
product.template_476039,11.5,6,3
product.template_476040,13,12,2
product.template_476041,19,13,4
product.template_476042,12,8,2
product.template_476112,16,8.5,2.5
product.template_476440,10.5,6,2.5
product.template_484012,22.5,13,9.5
product.template_484019,15,12.5,3.8
product.template_484121,12.5,4.5,8
product.template_484122,13,6.5,10
product.template_498033,60,40,10
product.template_499220,60,40,10
product.template_499317,57,34,1.2
product.template_499318,60,39,1
product.template_499793,60,40,10
product.template_499837,60,40,10
product.template_706002,38,16.5,15.5
product.template_706010,40,19.5,40
product.template_706017,35,35,16
product.template_706020,40,38,16
product.template_706021,35,35,16
product.template_706022,40,38,16
product.template_706030,40,40,13
product.template_706040,43,31,13
product.template_706045,40,40,13
product.template_706050,40,40,13
product.template_707803,40,41,14
product.template_707804,40,41,14
product.template_709220,40,40,18
product.template_725015,41,100,36
product.template_725105,41,100,36
product.template_725108,96,40,30
product.template_725110,40,95,30
product.template_725114,41,95,36
product.template_725286,69,47,7
product.template_730002,40,34.5,2.5