id,name,city,bic,country
res.bank_EBATBEBB,ABE CLEARING SAS/EBA CLEARING,BRUSSELS,EBATBEBB,BE
res.bank_ABNABE2AIDJ,ABN AMRO BANK N.V. BELGIAN BRANCH,ANTWERPEN,ABNABE2AIDJ,BE
res.bank_ABNABE2AMYO,ABN AMRO BANK N.V. BELGIAN BRANCH,ANTWERPEN,ABNABE2AMYO,BE
res.bank_ABNABE2AIPC,ABN AMRO BANK N.V. BELGIAN BRANCH,BERCHEM,ABNABE2AIPC,BE
res.bank_FTSBBE22,ABN AMRO BANK N.V. BELGIAN BRANCH,BERCHEM,FTSBBE22,BE
res.bank_ACCOBEB3,ACCORD,LA HULPE,ACCOBEB3,BE
res.bank_AGFGBEBB,AGFA GEVAERT NV,MORTSEL,AGFGBEBB,BE
res.bank_ADIABE22,ANTWERPSE DIAMANTBANK N.V.,ANTWERPEN,ADIABE22,BE
res.bank_ARSPBE22,ARGENTA,ANTWERPEN,ARSPBE22,BE
res.bank_ATWSBEBB,ATOS WORLDLINE,BRUSSELS,ATWSBEBB,BE
res.bank_WAFABEBBANT,ATTIJARIWAFA BANK (FORMERLY WAFABANK),ANTWERPEN,WAFABEBBANT,BE
res.bank_WAFABEBB,ATTIJARIWAFA BANK (FORMERLY WAFABANK),BRUSSELS,WAFABEBB,BE
res.bank_AXABBE22,AXA BANK EUROPE (FORMERLY AXA BANK BELGIUM),BERCHEM,AXABBE22,BE
res.bank_AXBIBEBB,AXA BELGIUM,WATERMAEL BOITSFORT,AXBIBEBB,BE
res.bank_BMPBBEBB,BANCA MONTE PASCHI BELGIO,BRUSSELS,BMPBBEBB,BE
res.bank_BMPBBEBBTGT,BANCA MONTE PASCHI BELGIO,BRUSSELS,BMPBBEBBTGT,BE
res.bank_BBVABEBB,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BRUSSELS,BBVABEBB,BE
res.bank_BSCHBEBR,BANCO SANTANDERÊCENTRALÊHISPANO,BRUSSELS,BSCHBEBR,BE
res.bank_BCMCBEBB,BANCONTACT MISTERCASH SA/NV,BRUSSELS,BCMCBEBB,BE
res.bank_DELEBE22,BANK DELEN NV,ANTWERPEN,DELEBE22,BE
res.bank_DELEBE22NRA,BANK DELEN NV,ANTWERPEN,DELEBE22NRA,BE
res.bank_DELEBE22THE,BANK DELEN NV,ANTWERPEN,DELEBE22THE,BE
res.bank_JVBABE22,BANK J. VAN BREDA AND CO NV,ANTWERPEN,JVBABE22,BE
res.bank_BOFABE3X,BANK OF AMERICA N.A. ANTWERP,ANTWERPEN,BOFABE3X,BE
res.bank_BARBBEBB,BANK OF BARODA (BRUSSELS BRANCH),BRUSSELS,BARBBEBB,BE
res.bank_BKCHBEBB,BANK OF CHINA (LUXEMBOURG) S.A. BRUSSELS BRANCH,BRUSSELS,BKCHBEBB,BE
res.bank_BKIDBE22,BANK OF INDIA,ANTWERPEN,BKIDBE22,BE
res.bank_BOTKBEBX,BANK OF TOKYO MITSUBISHI UFJ LTD. THE,BRUSSELS,BOTKBEBX,BE
res.bank_BCDMBEBB,BANQUE CHAABI DU MAROC,BRUSSELS,BCDMBEBB,BE
res.bank_DEGRBEBBTG2,BANQUE DEGROOF,BRUSSELS,DEGRBEBBTG2,BE
res.bank_DEGRBEBB,BANQUE DEGROOF,BRUSSELS,DEGRBEBB,BE
res.bank_ENIBBEBB,BANQUE ENI S.A.,BRUSSELS,ENIBBEBB,BE
res.bank_NBBEBEBB273,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBB273,BE
res.bank_NBBEBEBB243,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBB243,BE
res.bank_NBBEBEBBTRE,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBTRE,BE
res.bank_NBBEBEBBCEC,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBCEC,BE
res.bank_NBBEBEBB203,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBB203,BE
res.bank_NBBEBEBBEOC,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBEOC,BE
res.bank_NBBEBEBBCAC,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBCAC,BE
res.bank_NBBEBEBBNLX,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBNLX,BE
res.bank_NBBEBEBBFRX,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBFRX,BE
res.bank_NBBEBEBBECL,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBECL,BE
res.bank_NBBEBEBBMAC,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBMAC,BE
res.bank_NBBEBEBB223,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBB223,BE
res.bank_NBBEBEBBOVP,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBOVP,BE
res.bank_NBBEBEBB216,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBB216,BE
res.bank_NBBEBEBBWTX,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBWTX,BE
res.bank_ECMSBEBB,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,ECMSBEBB,BE
res.bank_NBBEBEBB,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBB,BE
res.bank_NBBEBEBBCON,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBCON,BE
res.bank_NBBEBEBBDCK,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBDCK,BE
res.bank_NBBEBEBBGLB,BANQUE NATIONALE DE BELGIQUE,BRUSSELS,NBBEBEBBGLB,BE
res.bank_PRIBBEBB,BANQUE PRIVEE EDMOND DE ROTHSCHILD EUROPE BELGIANBRANCH,BRUSSELS,PRIBBEBB,BE
res.bank_GKCCBEBB,BELFIUS BANK SA/NV,BRUSSELS,GKCCBEBB,BE
res.bank_CTBKBEBX,BEOBANK NV/SA,BRUSSELS,CTBKBEBX,BE
res.bank_GEBABEBB01A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),AALST,GEBABEBB01A,BE
res.bank_GEBABEBB18A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),ANTWERPEN,GEBABEBB18A,BE
res.bank_GEBABEBB02A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),ARLON,GEBABEBB02A,BE
res.bank_GEBABEBB13A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),BRUGGE,GEBABEBB13A,BE
res.bank_GEBABEBB,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),BRUSSELS,GEBABEBB,BE
res.bank_GEBABEBBLDN,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),BRUSSELS,GEBABEBBLDN,BE
res.bank_GEBABEBB36A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),BRUSSELS,GEBABEBB36A,BE
res.bank_GEBABEBBSSD,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),BRUSSELS,GEBABEBBSSD,BE
res.bank_GEBABEBBALM,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),BRUSSELS,GEBABEBBALM,BE
res.bank_GEBABEBB03A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),CHARLEROI,GEBABEBB03A,BE
res.bank_GEBABEBB08E,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),GENK,GEBABEBB08E,BE
res.bank_GEBABEBB05A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),GENT,GEBABEBB05A,BE
res.bank_GEBABEBB14A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),HASSELT,GEBABEBB14A,BE
res.bank_GEBABEBB07B,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),HUY,GEBABEBB07B,BE
res.bank_GEBABEBB04A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),KORTRIJK,GEBABEBB04A,BE
res.bank_GEBABEBB06A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),LA LOUVIERE,GEBABEBB06A,BE
res.bank_GEBABEBB08A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),LEUVEN,GEBABEBB08A,BE
res.bank_GEBABEBB07A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),LIEGE,GEBABEBB07A,BE
res.bank_GEBABEBB08B,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),MECHELEN,GEBABEBB08B,BE
res.bank_GEBABEBB09A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),MONS,GEBABEBB09A,BE
res.bank_GEBABEBB10A,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),NAMUR,GEBABEBB10A,BE
res.bank_GEBABEBB18B,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),NINOVE,GEBABEBB18B,BE
res.bank_GEBABEBB06B,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),NIVELLES,GEBABEBB06B,BE
res.bank_GEBABEBB05B,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),ROESELARE,GEBABEBB05B,BE
res.bank_GEBABEBB01B,BNP PARIBASÊFORTISÊ(FORTISÊBANK SA/NV),SINT-NIKLAAS,GEBABEBB01B,BE
res.bank_GEBABEBB08C,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),TIENEN,GEBABEBB08C,BE
res.bank_GEBABEBB11A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),TOURNAI,GEBABEBB11A,BE
res.bank_GEBABEBB08D,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),TURNHOUT,GEBABEBB08D,BE
res.bank_GEBABEBB12A,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),VERVIERS,GEBABEBB12A,BE
res.bank_GEBABEBB07C,BNP PARIBAS FORTIS (FORTIS BANK SA/NV),WAREMME,GEBABEBB07C,BE
res.bank_FIMGBEBB,BNP PARIBAS IP BELGIUM SA,BRUSSELS,FIMGBEBB,BE
res.bank_BNPABEBB,BNP PARIBAS S.A. BELGIUM BELGIUM BRANCH,BRUSSELS,BNPABEBB,BE
res.bank_PARBBEBZ,BNP PARIBAS SECURITIES SERVICES BELGIUM,BRUSSELS,PARBBEBZ,BE
res.bank_PARBBEBZISI,BNP PARIBAS SECURITIES SERVICES BELGIUM,BRUSSELS,PARBBEBZISI,BE
res.bank_PARBBEBZMDC,BNP PARIBAS SECURITIES SERVICES BRUSSELS BRANCH,BRUSSELS,PARBBEBZMDC,BE
res.bank_PCHQBEBB,BPOST,BRUSSELS,PCHQBEBB,BE
res.bank_BYBBBEBB,BYBLOS BANK EUROPE S.A.,BRUSSELS,BYBBBEBB,BE
res.bank_FNETBEBB,CACEIS BELGIUM,BRUSSELS,FNETBEBB,BE
res.bank_ESESBEBBIAC,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBIAC,BE
res.bank_ESESBEBBIAD,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBIAD,BE
res.bank_ESESBEBBSCC,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBSCC,BE
res.bank_ESESBEBBT2X,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBT2X,BE
res.bank_ESESBEBB,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBB,BE
res.bank_ESESBEBBFDB,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBFDB,BE
res.bank_ESESBEBBINT,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBINT,BE
res.bank_ESESBEBBLE1,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBLE1,BE
res.bank_ESESBEBBLE2,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,BRUSSELS,ESESBEBBLE2,BE
res.bank_CAPWBEBB,CAPITALÊAT WORK SA,BRUSSELS,CAPWBEBB,BE
res.bank_CARGBEBL,CARFIN SA,LOUVAIN-LA-NEUVE,CARGBEBL,BE
res.bank_CAFIBEBB,CARREFOUR FINANCE SA,BRUSSELS,CAFIBEBB,BE
res.bank_CREGBEBB,CBC BANQUE S.A.,BRUSSELS,CREGBEBB,BE
res.bank_CREGBEBBNBB,CBC BANQUE S.A.,BRUSSELS,CREGBEBBNBB,BE
res.bank_CEINBEBB,CELIO INTERNATIONAL,BRUSSELS,CEINBEBB,BE
res.bank_CITIBEBX,CITIBANK INTERNATIONAL PLC,BRUSSELS,CITIBEBX,BE
res.bank_COBABEBXTBU,COMMERZBANK AG THE BRUSSELS BRANCH,BRUSSELS,COBABEBXTBU,BE
res.bank_COBABEBX,COMMERZBANK AG THE BRUSSELS BRANCH,BRUSSELS,COBABEBX,BE
res.bank_EUCOBEBB,COMMISSION DES COMMUNAUTES EUROPEENNES,BRUSSELS,EUCOBEBB,BE
res.bank_CEXPBE33,CORPORATE EXPRESS SHARED SERVICE CENTER (EUROPE) NV,HASSELT,CEXPBE33,BE
res.bank_CPHBBE75,CPH BANQUE,TOURNAI,CPHBBE75,BE
res.bank_CPHBBE75TG2,CPH BANQUE,TOURNAI,CPHBBE75TG2,BE
res.bank_CRLYBEBB,CREDIT AGRICOLE CIB BELGIUM,BRUSSELS,CRLYBEBB,BE
res.bank_CVMCBEBB,CREDIT AGRICOLE LUXEMBOURG SUCCURSALE EN BELGIQUE BIJBANK IN BELGIE,BRUSSELS,CVMCBEBB,BE
res.bank_FBHLBE22,CREDIT EUROPE BANK N.V. ANTWERP BRANCH,ANTWERPEN,FBHLBE22,BE
res.bank_BKCPBEBBTGT,CREDITÊPROFESSIONNELÊSA / BEROEPSKREDIET NV,BRUSSELS,BKCPBEBBTGT,BE
res.bank_BKCPBEBB,CREDITÊPROFESSIONNELÊSA / BEROEPSKREDIET NV,BRUSSELS,BKCPBEBB,BE
res.bank_SPAABE22,CRELAN SA/NV (FORMERLY CENTEA NV),ANTWERPEN,SPAABE22,BE
res.bank_NICABEBB,CRELAN SA/NV (FORMERLY CREDIT AGRICOLE SA/LANDBOUWKREDIET NV),BRUSSELS,NICABEBB,BE
res.bank_BNAGBEBB,DELTA LLOYD BANK NV (BELGIUM),BRUSSELS,BNAGBEBB,BE
res.bank_DHBNBEBB,DEMIR HALK BANK (NEDERLAND) N.V. BRUSSELS BRANCH,BRUSSELS,DHBNBEBB,BE
res.bank_DEUTBEBEANT,DEUTSCHE BANK A.G.,ANTWERPEN,DEUTBEBEANT,BE
res.bank_DEUTBEBE,DEUTSCHE BANK A.G.,BRUSSELS,DEUTBEBE,BE
res.bank_DEUTBEBEUNP,DEUTSCHE BANK A.G.,BRUSSELS,DEUTBEBEUNP,BE
res.bank_BDCHBE22610,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),ANTWERPEN,BDCHBE22610,BE
res.bank_BDCHBE22611,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),BRUSSELS,BDCHBE22611,BE
res.bank_BDCHBE22,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),BRUSSELS,BDCHBE22,BE
res.bank_BDCHBE22613,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),GENT,BDCHBE22613,BE
res.bank_BDCHBE22612,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),LIEGE,BDCHBE22612,BE
res.bank_DXAMBEBB,DEXIA ASSET MANAGEMENT BELGIQUE SA,BRUSSELS,DXAMBEBB,BE
res.bank_EPBFBEBB,EPBF,WATERMAEL BOITSFORT,EPBFBEBB,BE
res.bank_ETEXBEBB,ETEX S.A.,BRUSSELS,ETEXBEBB,BE
res.bank_ETHDBE44,ETHIAS DROIT COMMUN ASSOCIATION DASS.ÊMUTUELLES,LIEGE,ETHDBE44,BE
res.bank_ETHVBE44,ETHIAS VIE ASSOCIATION DASSURANCESÊMUTUELLES,LIEGE,ETHVBE44,BE
res.bank_MGTCBEBEE16,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEE16,BE
res.bank_MGTCBEBEEB2,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEB2,BE
res.bank_MGTCBEBEEBE,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEBE,BE
res.bank_MGTCBEBEEF2,EUROCLEAR BANK S.A / N.V,BRUSSELS,MGTCBEBEEF2,BE
